Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
TestHemfPlusExtractor;5.0;1.0;8.0;141;0;0;3
DrawTextBox;1.0;5.0;3.0;5;0;0;0
XDDFColorPreset;9.0;2.0;4.0;141;0;0;3
CompressedRTF;8.0;2.0;6.0;141;0;0;3
TestCHPBinTable;5.0;1.0;9.0;141;0;0;3
DocInfoListContainer;6.0;3.0;5.0;141;0;0;3
Baseifs;24.0;1.0;15.0;128;1;1;2
MySheet;11.0;1.0;13.0;141;0;0;3
TestFormulas;69.0;1.0;26.0;141;0;0;2
TestNecessaryOOXMLClasses;1.0;1.0;4.0;141;0;0;3
ErrPtg;18.0;3.0;11.0;63;1;1;2
Sumxmy2;2.0;3.0;5.0;22;1;0;1
InternalWorkbook;291.0;1.0;122.0;1922;0;1;2
PanoseWeight;0.0;0;1.0;3;0;1;1
WMFHandler;1.0;3.0;4.0;141;0;0;3
TestCode;5.0;1.0;5.0;141;0;0;3
TestHSSFColumnShifting;2.0;2.0;4.0;141;0;0;3
BATBlock;31.0;1.0;14.0;242;1;1;2
TestStringUtil;11.0;1.0;3.0;141;0;0;3
HSLFBackground;2.0;2.0;9.0;141;0;0;3
Geomean;4.0;3.0;6.0;15;0;0;0
Areas;3.0;1.0;8.0;25;1;0;1
PieChartDemo;8.0;1.0;15.0;141;0;0;2
WmfDibBitBlt;4.0;2.0;7.0;141;0;0;3
TestHSSFRichTextString;16.0;1.0;3.0;141;0;0;3
TempFileUtils;5.0;1.0;4.0;141;0;0;3
XDDFEffectContainer;2.0;1.0;2.0;141;0;0;3
UnimplementedHemfPlusRecord;5.0;1.0;5.0;141;0;0;3
HSSFListener;0;0;0;17;1;1;2
SXSSFWorkbook;116.0;1.0;69.0;141;0;0;2
TestTempFile;10.0;1.0;5.0;141;0;0;3
POIFSDump;17.0;1.0;14.0;90;0;1;1
TestLittleEndianStreams;5.0;1.0;5.0;141;0;0;3
TestPointerFactory;4.0;1.0;2.0;141;0;0;3
TestExcelAntWorkbookUtilFactory;2.0;1.0;3.0;141;0;0;3
DVALRecord;20.0;4.0;11.0;140;1;1;2
Shadow;0;0;0;26;0;0;0
UseSelFSRecord;11.0;4.0;10.0;54;1;1;2
GenericRecordHandler;0;0;0;14;0;0;0
EmfPolygon;12.0;2.0;11.0;141;0;0;3
BorderSide;0.0;0;4.0;141;0;0;3
EmfSetBkColor;3.0;2.0;5.0;141;0;0;3
HwmfBitmapDib;43.0;1.0;25.0;141;0;0;2
Oct2Dec;3.0;2.0;11.0;36;1;1;2
LogicalFunction;14.0;2.0;16.0;106;1;1;2
TestBitField;22.0;1.0;3.0;141;0;0;1
ParseNode;24.0;1.0;12.0;157;0;1;1
TestDataFormatRecord;2.0;1.0;5.0;141;0;0;3
ConnectionSite;10.0;1.0;3.0;90;0;0;0
RelCubBezTo;26.0;1.0;5.0;141;0;0;1
TestHSSFTextbox;2.0;1.0;8.0;141;0;0;3
ColumnHelper;66.0;1.0;8.0;141;0;0;2
PolyLineTo;17.0;1.0;5.0;141;0;0;3
Slide;0;0;0;62;1;1;2
WmfPolyPolygon;21.0;1.0;10.0;141;0;0;1
Margin;0;0;0;19;1;0;1
SheetDataWriter;72.0;1.0;25.0;141;0;0;2
XSLFFontData;6.0;2.0;4.0;141;0;0;3
BATBlockAndIndex;3.0;1.0;7.0;14;0;0;0
TestDetectAsOOXML;4.0;1.0;6.0;141;0;0;3
AllHSLFTests;0.0;1.0;10.0;141;0;0;3
BaseTestFormulaEvaluator;33.0;1.0;19.0;141;0;0;2
AddDimensionedImage;39.0;1.0;15.0;141;0;0;2
ExternSheetReferenceToken;0;0;0;14;1;0;1
DataValidationHelper;0;0;0;16;1;1;2
OutlineTextRefAtom;7.0;3.0;5.0;141;0;0;3
CRNBlock;3.0;1.0;5.0;17;0;0;0
BaseTestColumnShifting;4.0;1.0;8.0;141;0;0;3
MAPIAttribute;28.0;1.0;24.0;141;0;0;2
XDGFRelation;2.0;2.0;8.0;141;0;0;3
VariantTypeException;3.0;4.0;5.0;41;0;1;1
SoundFinder;7.0;1.0;7.0;141;0;0;3
ColorGradientFormatting;32.0;1.0;17.0;141;1;1;2
NumberFormatIndexRecord;12.0;4.0;6.0;61;1;1;2
Letterform;0.0;0;2.0;141;0;0;3
UnknownRecordPlaceholder;6.0;3.0;5.0;141;0;0;3
PackagePartName;59.0;1.0;68.0;141;0;0;2
XSLFTestDataSamples;2.0;1.0;21.0;141;0;0;2
BookmarksTables;25.0;1.0;11.0;141;0;0;1
HSLFShapeContainer;0;0;0;141;0;0;3
WmfExtTextOut;18.0;1.0;16.0;141;0;0;2
LazilyConcatenatedByteArray;9.0;1.0;2.0;57;0;0;0
RecordAggregate;2.0;2.0;19.0;84;1;1;2
StandardEncryptionInfoBuilder;13.0;1.0;13.0;64;1;0;1
LastCellOfRowDummyRecord;6.0;4.0;6.0;48;1;1;2
DataConsolidateFunction;3.0;0;4.0;29;0;0;0
Series;17.0;2.0;6.0;141;0;0;3
RecordConstructor;0;0;0;4;0;0;0
DrawShape;38.0;1.0;16.0;186;1;1;2
TestFileHelper;2.0;1.0;2.0;141;0;0;3
TNEFProperty;9.0;1.0;10.0;141;0;0;3
Document;34.0;4.0;36.0;141;1;1;2
Percentile;6.0;2.0;11.0;57;0;0;0
XSSFAutoFilter;1.0;1.0;2.0;141;0;0;3
XWPFDefaultRunStyle;4.0;1.0;2.0;141;0;0;3
TwoArrayArg;6.0;2.0;11.0;75;1;0;1
ArmStyle;0.0;0;2.0;141;0;1;1
TextAutofit;0.0;0;2.0;37;0;0;0
Fixed1ArgFunction;2.0;1.0;35.0;13;1;0;2
HSSFDateUtil;1.0;2.0;1.0;10;0;1;1
TextStyleListing;17.0;1.0;11.0;141;0;0;3
FontCharset;7.0;0;19.0;52;0;1;2
PackagePartConstructor;0;0;0;141;0;0;3
XDDFArea3DChartData;24.0;2.0;9.0;141;0;0;1
DirectoryProperty;17.0;2.0;18.0;222;1;0;2
FillDrawStyle;3.0;0;18.0;141;0;0;2
FieldType;0.0;0;4.0;6;0;0;0
HsGetValue;2.0;1.0;6.0;141;0;0;3
TestTxMasterStyleAtom;22.0;1.0;10.0;141;0;0;1
TestPOIFSReaderRegistry;19.0;1.0;6.0;141;0;0;3
TestPropertyTemplate;116.0;1.0;12.0;141;0;0;2
ParagraphSprmUncompressor;89.0;2.0;21.0;141;0;0;2
ExcelComparator;111.0;1.0;23.0;141;0;0;2
MockDrawingManager;3.0;2.0;3.0;141;0;0;3
NotImplemented;0;0;0;9;0;0;0
AnchorType;3.0;0;2.0;66;0;1;1
CellNumberStringMod;13.0;1.0;2.0;71;1;0;1
TestReadOnlySharedStringsTable;6.0;1.0;7.0;141;0;0;3
HeadersFootersAtom;13.0;3.0;12.0;141;0;0;3
NumericFunction;61.0;1.0;30.0;427;1;1;2
FibRgLw95;20.0;2.0;4.0;141;0;0;3
ArrayMode;0;0;0;5;0;0;0
FileHandler;0;0;0;141;0;0;3
TestSXSSFSheet;12.0;3.0;10.0;141;0;0;3
BaseTestXSSFPivotTable;20.0;1.0;13.0;141;0;0;3
CustomProperty;9.0;2.0;6.0;89;0;0;0
TCAbstractType;78.0;1.0;7.0;141;0;0;2
TempFilePOIFSFileSystem;3.0;3.0;4.0;21;1;1;2
ValidationEnum;38.0;0;16.0;177;1;1;2
DocumentInputStream;47.0;2.0;50.0;281;1;1;2
FibRgLw97;20.0;2.0;4.0;141;0;0;3
ParagraphProperties;62.0;2.0;17.0;141;0;0;2
TestExcelConverterSuite;4.0;1.0;6.0;141;0;0;3
DrawTextShape;26.0;3.0;19.0;170;1;1;2
Decryptor;28.0;1.0;46.0;143;1;1;2
WmfCreateFontIndirect;9.0;1.0;11.0;141;0;0;3
FSPATable;11.0;1.0;11.0;141;0;0;3
CompoundLine;3.0;0;1.0;141;0;0;3
LVLF;2.0;2.0;2.0;141;0;0;3
XWPFDefaultParagraphStyle;4.0;1.0;2.0;141;0;0;3
TestXSLFShapeContainer;2.0;1.0;6.0;141;0;0;3
UnknownEscherRecord;20.0;2.0;12.0;111;1;1;2
FontEmbeddedData;12.0;3.0;10.0;141;0;0;3
XDDFBulletStyleNone;2.0;1.0;2.0;141;0;0;3
StringChunk;20.0;2.0;18.0;141;0;0;2
HPBFPart;9.0;1.0;7.0;141;0;0;3
HwmfWindowing;0.0;1.0;1.0;141;0;0;3
SinglentonTextPiece;9.0;3.0;4.0;141;0;0;3
TestXSSFFirstHeader;3.0;1.0;3.0;141;0;0;3
EmfCommentDataWMF;6.0;1.0;12.0;141;0;0;3
HwmfBitmap16;6.0;1.0;8.0;141;0;0;3
XWPFRun;223.0;1.0;50.0;141;0;0;2
TestRecordSetup;7.0;1.0;7.0;141;0;0;3
DividePtg;5.0;4.0;5.0;27;1;0;1
TestFormulaShifter;29.0;1.0;8.0;141;0;0;1
XDDFGradientStop;25.0;1.0;8.0;141;0;0;1
WmfSetBkColor;6.0;1.0;9.0;141;0;0;3
Range;110.0;1.0;76.0;8;1;1;2
PrintCellComments;4.0;0;2.0;35;0;0;0
ExternalNameEval;3.0;1.0;4.0;17;0;0;0
CountUtils;17.0;1.0;11.0;74;0;1;1
ExcelAntSet;3.0;1.0;7.0;141;0;0;3
AutoSizeColumnTracker;28.0;1.0;8.0;141;0;0;1
FormulaRenderer;17.0;1.0;20.0;95;0;1;2
SheetUtil;45.0;1.0;24.0;341;1;1;2
HSSFFont;38.0;1.0;28.0;291;1;0;2
SheetToCSV;10.0;1.0;5.0;141;0;0;3
TestPercentPtg;1.0;2.0;6.0;141;0;0;3
ImageHeaderPNG;3.0;1.0;6.0;26;0;1;1
TablePartStyle;0.0;0;3.0;141;0;0;3
NameRecord;70.0;4.0;32.0;510;1;1;2
TestFactory;2.0;2.0;3.0;141;0;0;3
EscherGraphics2d;97.0;3.0;5.0;486;1;1;2
DelayableLittleEndianOutput;0;0;0;16;1;0;1
LVLFAbstractTypeTest;1.0;1.0;1.0;141;0;0;3
ValueFunction;0;0;0;12;1;0;1
OldCellRecord;10.0;1.0;6.0;69;1;1;2
FormulaValue;4.0;1.0;8.0;141;0;0;3
XSSFFontFormatting;35.0;1.0;8.0;141;0;0;1
RecordInputStream;67.0;1.0;259.0;463;1;1;2
ErrorValueType;3.0;0;2.0;141;0;0;3
XDDFSolidFillProperties;25.0;1.0;18.0;141;0;0;2
TestFunctionMetadataRegistry;2.0;1.0;3.0;141;0;0;3
XSSFColumnShifter;5.0;3.0;7.0;141;0;0;3
DataSource;0.0;1.0;3.0;12;1;1;2
SettingExternalFunction;1.0;1.0;6.0;141;0;0;3
SheetContainer;0.0;4.0;11.0;141;0;0;3
DSFRecord;11.0;4.0;10.0;51;1;1;2
TableRowAlign;5.0;0;2.0;141;0;0;3
ComplexFileTable;10.0;1.0;15.0;141;0;0;2
FormatIndex;0.0;0;1.0;141;0;0;3
AnchorType;2.0;0;16.0;66;0;1;2
RecordFactoryInputStream;30.0;1.0;20.0;299;0;1;2
TestAutoFilterInfoRecord;3.0;1.0;4.0;141;0;0;3
WmfTextOut;6.0;1.0;10.0;141;0;0;3
EmfPlusLinearGradientBrushData;24.0;1.0;18.0;141;0;0;2
TestXSSFPivotTableName;1.0;2.0;7.0;141;0;0;3
TestXSLFTheme;14.0;1.0;17.0;141;0;0;2
TestRangePtg;1.0;2.0;6.0;141;0;0;3
TestXDGFVisioExtractor;6.0;1.0;7.0;141;0;0;3
Hyphenation;16.0;2.0;6.0;141;0;0;3
TestSeriesChartGroupIndexRecord;2.0;1.0;5.0;141;0;0;3
IStabilityClassifier;0;0;0;61;1;0;1
PICF;34.0;2.0;3.0;141;0;0;1
XDDFColor;14.0;1.0;23.0;141;0;0;2
HSSFEvaluationSheet;9.0;1.0;8.0;48;1;0;1
DrawTextParagraph;118.0;1.0;39.0;579;1;1;2
TestVBAMacroReader;34.0;1.0;9.0;141;0;0;1
AbstractEscherOptRecord;19.0;2.0;46.0;128;1;1;2
