Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
StrokeStyle;0;0;0;1124;0;0;3
BulletStyle;0;0;0;1124;0;0;3
TestTickRecord;2.0;1.0;5.0;56;0;1;1
Sumif;16.0;2.0;11.0;1124;0;1;1
DStarAlgorithmEnum;2.0;0;7.0;1124;0;0;3
ZipPartMarshaller;7.0;1.0;20.0;1124;0;0;2
ConstantStringFormat;3.0;2.0;1.0;1124;0;0;3
LiteralNumericalArrayDataSource;2.0;3.0;2.0;1124;0;0;3
ContentTypeManager;38.0;1.0;14.0;1124;0;0;3
CalcCountRecord;12.0;4.0;8.0;1124;0;0;3
LineDecoration;0;0;0;1124;0;0;3
Sheet;0;0;0;1124;1;1;2
CodepageRecord;11.0;4.0;12.0;1124;0;0;3
CFHeaderBase;23.0;4.0;14.0;1124;0;0;3
SignatureFacetHelper;5.0;1.0;5.0;1124;0;0;3
CharacterRun;108.0;2.0;37.0;1124;0;0;2
GroupMarkerSubRecord;11.0;2.0;9.0;1124;0;0;3
FontFormatting;56.0;1.0;12.0;1124;0;0;2
LineDash;8.0;0;16.0;1124;0;0;2
RichTextValue;4.0;2.0;4.0;1124;0;0;3
AxisPosition;3.0;0;24.0;1124;0;0;2
Outlining;3.0;1.0;3.0;1124;0;0;3
ParaPropFetcher;0;0;0;1124;0;0;3
SHDAbstractType;23.0;1.0;6.0;1124;0;0;3
XDDFDashStop;6.0;1.0;1.0;1124;0;0;3
TestSprms;7.0;1.0;8.0;1124;0;0;3
HSLFTabStopDecorator;5.0;1.0;4.0;1124;0;0;3
ShapePath;5.0;0;1.0;1124;0;0;3
TestHSLFSlideShow;3.0;2.0;6.0;1124;0;0;3
HSLFEscherClientDataRecord;15.0;3.0;18.0;1124;0;0;2
EmfPlusSetCompositingMode;0.0;2.0;2.0;1124;0;0;3
StreamBlockByteBuffer;14.0;2.0;5.0;1124;0;0;3
TestEscherOptRecord;10.0;1.0;16.0;264;0;1;2
SS;0.0;1.0;1.0;33;0;1;1
StringFormulaValue;4.0;2.0;3.0;1124;0;0;3
ShortField;12.0;1.0;5.0;1124;0;0;3
SingleXmlCells;9.0;2.0;8.0;1124;0;0;3
EmfPlusRegionRect;4.0;1.0;5.0;1124;0;0;3
ModuleType;0.0;0;4.0;1124;0;0;3
ExternalName;16.0;1.0;2.0;1124;0;0;3
TBDAbstractType;14.0;1.0;3.0;1124;0;0;3
CellIterator;9.0;1.0;4.0;1124;0;0;3
XSSFBHeaderFooter;11.0;1.0;3.0;1124;0;0;3
WmfOffsetWindowOrg;7.0;1.0;8.0;1124;0;0;3
TestExOleObjAtom;3.0;1.0;4.0;1124;0;0;3
TextDirection;0.0;0;2.0;1124;0;0;3
TestHSSFName;12.0;2.0;18.0;189;0;1;2
LayoutTarget;3.0;0;3.0;1124;0;0;3
AxisTickLabelPosition;3.0;0;6.0;1124;0;0;3
TextCharDelegate;34.0;1.0;2.0;1124;0;0;3
FormulaCellCacheEntryComparer;6.0;1.0;3.0;27;0;0;0
BinaryTagDataBlob;3.0;4.0;6.0;1124;0;0;3
WorksheetProtectionBlock;35.0;3.0;14.0;1124;0;0;3
XSSFDialogsheet;19.0;3.0;6.0;1124;0;0;3
XSSFChildAnchor;13.0;2.0;3.0;1124;0;0;3
TestHDGFLZW;5.0;1.0;3.0;1124;0;0;3
TestAttachments;7.0;1.0;5.0;1124;0;0;3
XSSFExcelExtractor;36.0;3.0;29.0;1124;0;0;2
TestHemfPlusExtractor;5.0;1.0;8.0;1124;0;0;3
DrawTextBox;1.0;5.0;3.0;1124;0;0;3
XDDFColorPreset;9.0;2.0;4.0;1124;0;0;3
CompressedRTF;8.0;2.0;6.0;1124;0;0;3
TestCHPBinTable;5.0;1.0;9.0;1124;0;0;3
DocInfoListContainer;6.0;3.0;5.0;1124;0;0;3
Baseifs;24.0;1.0;15.0;1124;0;0;2
MySheet;11.0;1.0;13.0;63;0;0;0
TestFormulas;69.0;1.0;26.0;741;0;1;2
TestNecessaryOOXMLClasses;1.0;1.0;4.0;1124;0;0;3
ErrPtg;18.0;3.0;11.0;1124;0;0;3
Sumxmy2;2.0;3.0;5.0;1124;0;0;3
