Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
Logistic;6.0;1.0;10.0;184;1;1;2
BrentOptimizerTest;16.0;1.0;21.0;345;0;0;2
LeastSquaresBuilder;14.0;1.0;26.0;183;0;1;2
Gaussian;14.0;1.0;15.0;203;1;1;2
Variance;44.0;3.0;26.0;565;1;1;2
Vector3DTest;36.0;1.0;10.0;345;0;0;3
EnumeratedIntegerDistribution;26.0;2.0;12.0;217;1;0;1
LevenbergMarquardtOptimizer;99.0;3.0;16.0;927;1;1;2
KeplerStepHandler;6.0;1.0;5.0;345;0;0;3
UnionMerger;2.0;1.0;4.0;16;0;0;0
CigTab;4.0;1.0;3.0;345;0;0;3
CloseEventsTest;2.0;1.0;5.0;345;0;0;3
SumOfSquares;11.0;3.0;11.0;121;1;1;2
LinearProblem;8.0;1.0;6.0;345;0;0;3
Vector2DFormat;11.0;2.0;7.0;99;1;1;2
ContinuousOutputModel;35.0;1.0;20.0;366;1;1;2
BigFractionMatrixConverter;4.0;2.0;4.0;28;0;0;0
SetVisitor;2.0;2.0;3.0;345;0;0;3
TwoAxes;5.0;1.0;3.0;345;0;0;3
StreamDataAdapter;5.0;2.0;3.0;42;0;0;0
OneWayAnova;15.0;1.0;13.0;288;0;1;1
LinearConstraint;14.0;1.0;10.0;189;0;1;1
WilsonScoreInterval;1.0;1.0;7.0;27;1;1;2
ComplexUtilsTest;10.0;1.0;5.0;345;0;0;3
Solver;19.0;1.0;10.0;111;1;1;2
ProperFractionFormat;18.0;5.0;8.0;180;1;1;2
IllinoisSolver;4.0;4.0;3.0;58;0;0;0
SimplexOptimizerNelderMeadTest;14.0;1.0;18.0;345;0;0;2
AbstractMultipleLinearRegression;41.0;1.0;22.0;324;1;1;2
WeightedObservedPoints;5.0;1.0;6.0;84;0;0;0
NewtonSolver;6.0;3.0;7.0;64;1;1;2
MismatchedEquations;1.0;6.0;4.0;12;0;0;0
BaseAbstractMultivariateVectorOptimizer;30.0;1.0;24.0;317;1;0;2
CovarianceTest;12.0;1.0;7.0;345;0;0;3
MinusElli;1.0;1.0;3.0;345;0;0;3
SplineInterpolatorTest;9.0;1.0;11.0;345;0;0;3
EuclideanDoublePoint;11.0;1.0;5.0;66;1;1;2
EvaluationRmsCheckerTest;9.0;1.0;5.0;345;0;0;3
GillFieldIntegratorTest;15.0;2.0;6.0;345;0;0;3
Vector1D;39.0;1.0;29.0;284;1;1;2
ChengBetaSampler;15.0;1.0;4.0;108;0;1;1
MicrosphereSurfaceElement;7.0;1.0;3.0;59;0;0;0
SingularValueSolverTest;8.0;1.0;9.0;345;0;0;3
IdentityPreconditioner;1.0;1.0;3.0;7;0;0;0
MapDataVisualization;0;0;0;17;1;0;1
GeneticAlgorithmTestBinary;3.0;1.0;11.0;345;0;0;3
ValuePenaltyPair;1.0;1.0;2.0;17;0;0;0
BaseSecantSolverAbstractTest;20.0;1.0;19.0;345;0;0;2
FieldVector3D;106.0;1.0;16.0;1054;0;1;2
MathIllegalArgumentException;4.0;5.0;214.0;38;1;0;2
StepNormalizerOutputTest;7.0;2.0;1.0;345;0;0;3
ExtendedFieldElementAbstractTest;134.0;1.0;12.0;345;0;0;2
LimitAngleTest;2.0;1.0;4.0;345;0;0;3
EventHandler;0;0;0;179;1;0;1
ElitisticListPopulation;7.0;2.0;14.0;78;1;1;2
DctNormalization;0.0;0;2.0;47;0;0;0
LaplaceDistribution;20.0;2.0;8.0;117;1;1;2
SimpleCurveFitter;6.0;2.0;9.0;92;1;0;1
MultiDirectionalSimplex;14.0;2.0;4.0;174;1;0;1
GradientFunction;4.0;1.0;6.0;36;1;0;1
Elli;4.0;1.0;5.0;345;0;0;3
IntegerSequenceTest;29.0;1.0;8.0;345;0;0;3
PowellSingularFunction;3.0;2.0;3.0;345;0;0;3
SimplexTableauTest;9.0;1.0;7.0;345;0;0;3
UnknownParameterException;2.0;6.0;11.0;26;0;0;0
HarmonicOscillator;7.0;1.0;14.0;139;1;1;2
TooManyEvaluationsException;1.0;7.0;74.0;18;0;0;2
