Resource,JUC,JUC-TESTED,TEST-CLASS,Tested,DTTested,Qi,FANIN,CBO,DOIH,LOC,RFC,FANOUT,WMPC1,R-Qi,R-FANIN,R-CBO,R-DOIH,R-LOC,R-RFC,R-FANOUT,R-WMPC1
org.jfree.chart.plot.SpiderWebPlot,34,1,2,1,1,1.12E-04,15,57,3,673,276,38,140,386,363,405,247,394,332,403,400
org.jfree.chart.plot.ThermometerPlot,24,1,2,1,1,1.28E-10,23,47,3,722,278,30,149,404,389,397,247,397,333,396,403
org.jfree.chart.plot.ValueMarker,40,1,2,1,1,0.58841302,10,2,2,34,39,2,9,213,328,97,150,79,170,109,102
org.jfree.chart.plot.XYPlot,44,1,2,1,1,5.17E-16,54,64,3,2041,435,47,470,408,410,408,247,411,392,409,411
org.jfree.chart.renderer.AbstractRenderer,77,1,2,1,1,5.94E-04,48,32,1,1273,213,22,322,375,407,370,1,409,322,373,409
org.jfree.chart.renderer.AreaRendererEndType,0,0,2,1,1,0.942037753,1,1,1,42,15,1,10,51,43,44,1,105,17,51,119
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,16,1,2,1,1,0.0010288,22,48,2,746,429,36,134,372,388,399,150,399,388,402,399
org.jfree.chart.renderer.category.AreaRenderer,33,1,2,1,1,0.216432148,5,22,3,139,369,16,22,295,259,327,247,262,353,340,235
org.jfree.chart.renderer.category.BarRenderer,33,1,2,1,1,1.73E-04,18,35,3,518,428,22,102,381,376,378,247,383,387,373,386
org.jfree.chart.renderer.category.BarRenderer3D,7,1,2,1,1,0.003357613,7,41,4,399,435,25,39,361,291,392,330,376,392,382,306
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,32,1,2,1,1,8.63E-05,7,43,3,527,430,29,68,387,291,395,247,385,390,394,368
org.jfree.chart.renderer.category.CategoryStepRenderer,43,1,2,1,1,0.012265861,7,12,3,110,358,9,19,344,291,274,247,235,349,282,211
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,0,0,2,1,1,1,0,0,4,4,378,0,0,1,1,1,330,1,357,1,1
org.jfree.chart.renderer.category.GanttRenderer,8,1,2,1,1,3.44E-04,3,24,5,344,409,16,49,377,195,344,371,366,376,340,332
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,43,1,2,1,1,0.001643901,15,29,5,231,427,17,33,370,363,362,371,329,386,345,278
org.jfree.chart.renderer.category.IntervalBarRenderer,33,1,2,1,1,0.02278557,2,24,4,150,396,16,18,336,127,344,330,274,368,340,199
org.jfree.chart.renderer.category.LayeredBarRenderer,14,1,2,1,1,0.003127033,3,27,4,298,413,17,53,364,195,357,330,355,380,345,339
org.jfree.chart.renderer.category.LevelRenderer,31,1,2,1,1,0.001439206,7,25,3,201,383,17,34,371,291,349,247,311,360,345,285
org.jfree.chart.renderer.category.LineAndShapeRenderer,55,1,2,1,1,0.003289083,12,23,3,377,402,15,85,362,349,333,247,370,371,333,378
org.jfree.chart.renderer.category.LineRenderer3D,8,1,2,1,1,0.039528837,3,33,4,339,438,19,36,331,195,373,330,364,395,361,293
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,6,1,2,1,1,0.317494224,0,35,3,215,391,21,38,279,1,378,247,318,367,371,303
org.jfree.chart.renderer.category.StackedAreaRenderer,25,1,2,1,1,0.239402033,2,16,4,98,362,13,12,290,127,301,330,219,351,313,154
org.jfree.chart.renderer.category.StackedBarRenderer,33,1,2,1,1,0.00899285,14,25,4,190,408,15,33,350,357,349,330,304,374,333,278
org.jfree.chart.renderer.category.StackedBarRenderer3D,18,1,2,1,1,0.005341213,13,24,5,223,429,14,39,354,353,344,371,320,388,323,306
org.jfree.chart.renderer.category.StatisticalBarRenderer,33,1,2,1,1,0.002731336,12,21,4,269,402,15,38,366,349,320,330,346,371,333,303
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,38,1,2,1,1,0.0043431,8,29,4,197,417,19,34,356,308,362,330,309,383,361,285
org.jfree.chart.renderer.category.WaterfallBarRenderer,40,1,2,1,1,0.008635281,13,30,4,269,415,18,46,351,353,366,330,346,382,354,327
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,12,1,2,1,1,0.003447283,23,52,2,751,432,41,128,360,389,404,150,401,391,406,397
org.jfree.chart.renderer.xy.CandlestickRenderer,24,1,2,1,1,0.066031319,11,32,3,363,410,22,61,320,342,370,247,368,379,373,357
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,80,1,2,1,1,0.117382297,10,21,4,136,388,15,21,310,328,320,330,259,363,333,223
org.jfree.chart.renderer.xy.HighLowRenderer,50,1,2,1,1,0.117841789,10,27,3,221,386,20,46,308,328,357,247,319,362,367,327
org.jfree.chart.renderer.xy.SignalRenderer,11,1,2,1,1,0.391334507,1,23,3,136,370,16,16,259,43,333,247,259,355,340,181
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,35,1,2,1,1,0.079777284,12,34,4,318,414,26,53,314,349,377,330,363,381,385,339
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,22,1,2,1,1,0.204649877,1,21,4,238,381,17,26,301,43,320,330,331,358,345,249
org.jfree.chart.renderer.xy.StackedXYBarRenderer,20,1,2,1,1,0.364663099,2,22,4,161,388,15,25,265,127,327,330,286,363,333,247
org.jfree.chart.renderer.xy.StandardXYItemRenderer,31,1,2,1,1,0.018026495,12,40,3,451,423,29,93,340,349,390,247,382,385,394,385
org.jfree.chart.renderer.xy.WindItemRenderer,67,1,2,1,1,0.479618522,1,17,3,76,360,13,3,238,43,304,247,187,350,313,41
org.jfree.chart.renderer.xy.XYAreaRenderer,39,1,2,1,1,0.032189771,13,33,3,343,396,25,59,332,353,373,247,365,368,382,354
org.jfree.chart.renderer.xy.XYAreaRenderer2,17,1,2,1,1,0.07098856,3,31,3,232,388,23,31,317,195,369,247,330,363,377,270
org.jfree.chart.renderer.xy.XYBarRenderer,52,1,2,1,1,0.041665746,13,37,3,312,409,27,55,329,353,384,247,362,376,390,348
