Class;WMC;DIT;CBO;LOC;CIC;CCC;Bug
DefaultPolarItemRenderer;89.0;2.0;32.0;838;1;1;2
JDBCPieDataset;14.0;3.0;2.0;159;0;0;3
DateTickMarkPosition;10.0;1.0;3.0;77;0;0;0
LineBorder;19.0;1.0;7.0;163;1;1;2
StandardPieURLGenerator;13.0;1.0;7.0;109;1;1;2
QuarterDateFormat;12.0;3.0;2.0;134;1;1;2
DefaultKeyedValues2D;56.0;1.0;13.0;470;1;1;2
DialTextAnnotationTest;4.0;1.0;4.0;182;0;0;3
DefaultOHLCDataset;29.0;4.0;9.0;281;1;0;1
CompassPlotTest;3.0;1.0;3.0;182;0;0;3
PiePlotTest;16.0;1.0;15.0;182;0;0;2
CombinedDomainXYPlot;85.0;3.0;24.0;618;1;1;2
SamplingXYLineRenderer;21.0;3.0;15.0;279;1;1;2
PieLabelRecordTest;3.0;1.0;3.0;182;0;0;3
SeriesDataset;0;0;0;35;1;0;1
XYDataset;0;0;0;70;1;1;2
TestDrawable;6.0;1.0;2.0;182;0;0;3
Arrangement;0;0;0;33;1;1;2
LegendItemBlockContainer;11.0;3.0;10.0;142;1;0;1
AxisChangeEvent;2.0;3.0;10.0;24;0;0;0
ChartDeleter;7.0;1.0;2.0;63;1;0;1
TestUtils;4.0;1.0;297.0;182;0;0;2
XYErrorRenderer;35.0;4.0;17.0;366;1;1;2
StackedXYAreaRenderer;55.0;4.0;25.0;538;1;1;2
LegendRenderingOrder;9.0;1.0;0.0;70;0;0;0
CombinedDomainCategoryPlotTest;9.0;1.0;15.0;182;0;0;2
PlotRenderingInfo;24.0;1.0;103.0;208;0;1;2
CandlestickRenderer;77.0;3.0;25.0;763;1;1;2
FlowArrangementTest;3.0;1.0;4.0;182;0;0;3
DefaultXYZDatasetTest;8.0;1.0;3.0;182;0;0;3
TickLabelEntity;1.0;2.0;3.0;19;0;0;0
TimeSeries;147.0;2.0;17.0;1211;1;1;2
XYPointerAnnotationTest;5.0;1.0;4.0;182;0;0;3
YIntervalTest;3.0;1.0;2.0;182;0;0;3
XYSplineRendererTest;5.0;1.0;8.0;182;0;0;3
StackedXYAreaRenderer2;44.0;4.0;21.0;442;1;0;2
CategoryLabelPositionsTest;3.0;1.0;5.0;182;0;0;3
CategoryItemEntity;14.0;2.0;7.0;151;0;1;1
DefaultKeyedValueDatasetTest;4.0;1.0;2.0;182;0;0;3
BooleanList;6.0;2.0;8.0;55;0;0;0
DataUtils;32.0;1.0;13.0;218;0;1;1
YIntervalSeriesCollectionTest;6.0;1.0;5.0;182;0;0;3
XYLineAndShapeRenderer;100.0;3.0;42.0;1008;1;1;2
DefaultPieDataset;30.0;2.0;26.0;283;1;1;2
MeanAndStandardDeviation;14.0;1.0;3.0;119;0;1;1
OverlayChangeEvent;1.0;2.0;3.0;15;0;0;0
CrosshairLabelGenerator;0;0;0;15;1;0;1
TableXYDatasetTest;13.0;1.0;4.0;182;0;0;3
XIntervalSeriesCollection;26.0;5.0;11.0;291;1;1;2
XYAnnotationBoundsInfo;0;0;0;29;1;0;1
RangeTypeTest;3.0;1.0;2.0;182;0;0;3
XYSeries;100.0;2.0;50.0;841;1;1;2
PieChartTest;3.0;1.0;5.0;182;0;0;3
OHLCSeriesCollection;40.0;4.0;14.0;406;1;1;2
AbstractCategoryItemLabelGenerator;24.0;1.0;18.0;242;1;1;2
LocalListener;1.0;1.0;3.0;182;0;0;3
ChartColor;2.0;2.0;1.0;111;0;1;1
KeyedValueComparatorType;7.0;1.0;2.0;62;0;0;0
HistogramDatasetTest;11.0;1.0;7.0;182;0;0;3
PaintAlpha;27.0;1.0;2.0;309;0;1;1
CategoryPointerAnnotation;35.0;4.0;19.0;420;1;1;2
OHLCDataItemTest;3.0;1.0;2.0;182;0;0;3
StrokeList;15.0;2.0;5.0;110;0;1;1
GradientBarPainterTest;4.0;1.0;3.0;182;0;0;3
DialLayerChangeListener;0;0;0;16;1;0;1
XYShapeRendererTest;5.0;1.0;7.0;182;0;0;3
URLUtilities;1.0;1.0;0.0;43;0;0;0
BoxAndWhiskerCalculatorTest;4.0;1.0;2.0;182;0;0;3
TickUnitSource;0;0;0;34;1;1;2
ArrayUtils;31.0;1.0;3.0;152;0;1;1
CategoryMarker;13.0;2.0;10.0;119;0;1;1
MatrixSeriesCollection;25.0;5.0;9.0;236;1;1;2
XYLineAndShapeRendererTest;9.0;1.0;18.0;182;0;0;2
AbstractBlock;54.0;1.0;32.0;521;1;1;2
TimePeriodValueTest;3.0;1.0;3.0;182;0;0;3
TableOrder;2.0;0;7.0;28;0;0;0
